town,office,party,candidate,votes
Scituate,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,2813
Scituate,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1606
Smithfield,SENATOR IN CONGRESS,DEM,John F. REED,4883
Smithfield,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,2660
Smithfield,SENATOR IN CONGRESS,NON,WRITE-IN,3
Smithfield,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,4177
Smithfield,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,3358
Smithfield,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,10
Smithfield,GOVERNOR,REP,Allan W. FUNG,3241
Smithfield,GOVERNOR,DEM,Gina M. RAIMONDO,2587
Smithfield,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1725
Smithfield,GOVERNOR,IND,Kate L. FLETCHER,75
Smithfield,GOVERNOR,IND,Leon M. KAYARIAN,27
Smithfield,GOVERNOR,NON,WRITE-IN,17
Smithfield,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,3917
Smithfield,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,2743
Smithfield,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,581
Smithfield,LIEUTENANT GOVERNOR,Lib,Tony JONES,241
Smithfield,LIEUTENANT GOVERNOR,NON,WRITE-IN,13
Smithfield,SECRETARY OF STATE,DEM,Nellie M. GORBEA,3966
Smithfield,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",3466
Smithfield,SECRETARY OF STATE,NON,WRITE-IN,9
Smithfield,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,3828
Smithfield,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,3694
Smithfield,ATTORNEY GENERAL,NON,WRITE-IN,6
Smithfield,GENERAL TREASURER,IND,Ernest A. ALMONTE,4163
Smithfield,GENERAL TREASURER,DEM,Seth MAGAZINER,3205
Smithfield,GENERAL TREASURER,NON,WRITE-IN,11
Smithfield,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,DEM,Stephen R. ARCHAMBAULT,4505
Smithfield,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,REP,Hasan ALSAWAF,2950
Smithfield,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,NON,WRITE-IN,14
Smithfield,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 44,DEM,Gregory J. COSTANTINO,2321
Smithfield,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 44,REP,"Philip G. HIRONS, JR.",1224
Smithfield,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 44,NON,WRITE-IN,8
Smithfield,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 53,DEM,Thomas J. WINFIELD,3011
Smithfield,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 53,NON,WRITE-IN,119
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,DEM,Suzanna L. ALBA,3644
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,REP,"Alberto J. LaGRECA, JR.",3525
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,DEM,Bernard A. HAWKINS,3309
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,REP,Maxine A. CAVANAGH,3308
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,DEM,Gregory J. TOCCO,3278
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,REP,Richard A. POIRIER,3242
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,DEM,Ryan J. McNELIS,3100
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,REP,John CAPPELLO,2902
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,DEM,Richard W. NICHOLSON,2814
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,REP,John Henry YOAKUM,2581
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,IND,Matthew REDDY,2489
Smithfield,TOWN COUNCIL TOWN OF SMITHFIELD,NON,WRITE-IN,38
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,REP,Rose Marie CIPRIANO,3373
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,DEM,Virginia G. HARNOIS,2815
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,REP,Brent Andrew BARROWS,2670
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,DEM,Sheila Elizabeth O&#39;CONNOR-SANTOS,2431
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,REP,Elizabeth Ann SENIK-ALSAWAF,2302
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,DEM,"Ronald T. RILEY, JR.",2202
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,IND,Jennifer BLANCHETTE,1836
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,IND,Daniel P. SNOWMAN,1769
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,IND,Rema M. TOMKA,1126
Smithfield,SCHOOL COMMITTEE TOWN OF SMITHFIELD,NON,WRITE-IN,9
Smithfield,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,4366
Smithfield,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,3059
Smithfield,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,5072
Smithfield,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,2157
Smithfield,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,3913
Smithfield,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,3339
Smithfield,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,4244
Smithfield,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2840
Smithfield,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,3952
Smithfield,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,3381
Smithfield,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,3800
Smithfield,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,3209
Smithfield,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,4790
Smithfield,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,2411
Smithfield,QUESTION 8 - TOWN OF SMITHFIELD,NON,Question 8 APPROVE,4096
Smithfield,QUESTION 8 - TOWN OF SMITHFIELD,NON,Question 8 REJECT,3441
Smithfield,QUESTION 9 - TOWN OF SMITHFIELD,NON,Question 9 APPROVE,5559
Smithfield,QUESTION 9 - TOWN OF SMITHFIELD,NON,Question 9 REJECT,1950
Smithfield,QUESTION 10 - TOWN OF SMITHFIELD,NON,Question 10 APPROVE,5315
Smithfield,QUESTION 10 - TOWN OF SMITHFIELD,NON,Question 10 REJECT,1940
Smithfield,QUESTION 11 - TOWN OF SMITHFIELD,NON,Question 11 APPROVE,5987
Smithfield,QUESTION 11 - TOWN OF SMITHFIELD,NON,Question 11 REJECT,1462
Smithfield,QUESTION 12 - TOWN OF SMITHFIELD,NON,Question 12 APPROVE,5133
Smithfield,QUESTION 12 - TOWN OF SMITHFIELD,NON,Question 12 REJECT,2149
Smithfield,QUESTION 13 - TOWN OF SMITHFIELD,NON,Question 13 APPROVE,4413
Smithfield,QUESTION 13 - TOWN OF SMITHFIELD,NON,Question 13 REJECT,2773
Smithfield,QUESTION 14 - TOWN OF SMITHFIELD,NON,Question 14 APPROVE,5036
Smithfield,QUESTION 14 - TOWN OF SMITHFIELD,NON,Question 14 REJECT,2035
Smithfield,QUESTION 15 - TOWN OF SMITHFIELD,NON,Question 15 APPROVE,6036
Smithfield,QUESTION 15 - TOWN OF SMITHFIELD,NON,Question 15 REJECT,1074
Smithfield,QUESTION 16 - TOWN OF SMITHFIELD,NON,Question 16 APPROVE,5013
Smithfield,QUESTION 16 - TOWN OF SMITHFIELD,NON,Question 16 REJECT,2033
Smithfield,QUESTION 17 - TOWN OF SMITHFIELD,NON,Question 17 APPROVE,3726
Smithfield,QUESTION 17 - TOWN OF SMITHFIELD,NON,Question 17 REJECT,3302
Smithfield,QUESTION 18 - TOWN OF SMITHFIELD,NON,Question 18 REJECT,6076
Smithfield,QUESTION 18 - TOWN OF SMITHFIELD,NON,Question 18 APPROVE,1268
South Kingstown,SENATOR IN CONGRESS,DEM,John F. REED,7454
South Kingstown,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,3037
South Kingstown,SENATOR IN CONGRESS,NON,WRITE-IN,12
South Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,6641
South Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,3683
South Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,23
South Kingstown,GOVERNOR,DEM,Gina M. RAIMONDO,4606
South Kingstown,GOVERNOR,REP,Allan W. FUNG,3562
South Kingstown,GOVERNOR,MOD,"Robert J. HEALEY, JR.",2291
South Kingstown,GOVERNOR,IND,Kate L. FLETCHER,156
South Kingstown,GOVERNOR,NON,WRITE-IN,45
South Kingstown,GOVERNOR,IND,Leon M. KAYARIAN,32
South Kingstown,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,4951
South Kingstown,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,3779
South Kingstown,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,897
South Kingstown,LIEUTENANT GOVERNOR,Lib,Tony JONES,389
South Kingstown,LIEUTENANT GOVERNOR,NON,WRITE-IN,20
South Kingstown,SECRETARY OF STATE,DEM,Nellie M. GORBEA,6113
South Kingstown,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",3899
South Kingstown,SECRETARY OF STATE,NON,WRITE-IN,24
South Kingstown,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,5416
South Kingstown,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,4813
South Kingstown,ATTORNEY GENERAL,NON,WRITE-IN,17
South Kingstown,GENERAL TREASURER,DEM,Seth MAGAZINER,5842
South Kingstown,GENERAL TREASURER,IND,Ernest A. ALMONTE,4256
South Kingstown,GENERAL TREASURER,NON,WRITE-IN,14
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,DEM,James M. CALLAGHAN,234
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,REP,Mark W. GEE,223
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,NON,WRITE-IN,0
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 37,DEM,V. Susan SOSNOWSKI,7034
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 37,NON,WRITE-IN,196
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 38,REP,Dennis L. ALGIERE,583
South Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 38,NON,WRITE-IN,16
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 33,DEM,"Donald J. LALLY, JR.",1963
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 33,NON,WRITE-IN,58
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 34,DEM,Teresa TANZI,1462
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 34,REP,Stephen C. TETZNER,864
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 34,NON,WRITE-IN,7
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 35,DEM,Kathleen A. FOGARTY,2113
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 35,REP,Lacey McGREEVY,1527
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 35,NON,WRITE-IN,27
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,IND,Blake Anthony FILIPPI,889
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,DEM,Donna M. WALSH,628
South Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,NON,WRITE-IN,1
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,DEM,Margaret M. HEALY,4675
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,IND,Joe VIELE,4539
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,DEM,Rachel CLOUGH,4465
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,IND,Abel G. COLLINS,4232
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,DEM,Carol Hagan McENTEE,4219
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,DEM,Liz GLEDHILL,4025
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,IND,James W. O&#39;NEILL,3611
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,DEM,Bryant C. DaCRUZ,3587
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,REP,Roland E. BENJAMIN,3200
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,REP,Sean A. O&#39;DONNELL,2916
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,REP,Robert A. TRAGER,2851
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,REP,James K. HALDEMAN,2541
South Kingstown,TOWN COUNCIL TOWN OF SOUTH KINGSTOWN,NON,WRITE-IN,40
South Kingstown,SCHOOL COMMITTEE TOWN OF SOUTH KINGSTOWN,DEM,Maureen E. COTTER,6064
South Kingstown,SCHOOL COMMITTEE TOWN OF SOUTH KINGSTOWN,DEM,Raissa N. MOSHER,5599
South Kingstown,SCHOOL COMMITTEE TOWN OF SOUTH KINGSTOWN,DEM,Myrna K. BIZER,5145
South Kingstown,SCHOOL COMMITTEE TOWN OF SOUTH KINGSTOWN,DEM,W. Keith VORHABEN,5080
South Kingstown,SCHOOL COMMITTEE TOWN OF SOUTH KINGSTOWN,NON,WRITE-IN,268
South Kingstown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,5373
South Kingstown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,5004
South Kingstown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,6963
South Kingstown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,3079
South Kingstown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,5880
South Kingstown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,4140
South Kingstown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,7022
South Kingstown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2960
South Kingstown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,6178
South Kingstown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,4077
South Kingstown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,6114
South Kingstown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,3595
South Kingstown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,7061
South Kingstown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,2805
South Kingstown,QUESTION 8 - TOWN OF SOUTH KINGSTOWN,NON,Question 8 APPROVE,5769
South Kingstown,QUESTION 8 - TOWN OF SOUTH KINGSTOWN,NON,Question 8 REJECT,4530
South Kingstown,QUESTION 9 - TOWN OF SOUTH KINGSTOWN,NON,Question 9 APPROVE,7781
South Kingstown,QUESTION 9 - TOWN OF SOUTH KINGSTOWN,NON,Question 9 REJECT,2599
Tiverton,SENATOR IN CONGRESS,DEM,John F. REED,3403
Tiverton,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1727
Tiverton,SENATOR IN CONGRESS,NON,WRITE-IN,3
Tiverton,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,2613
Tiverton,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,2483
Tiverton,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,12
Tiverton,GOVERNOR,DEM,Gina M. RAIMONDO,2090
Tiverton,GOVERNOR,REP,Allan W. FUNG,1882
Tiverton,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1173
Tiverton,GOVERNOR,IND,Kate L. FLETCHER,77
Tiverton,GOVERNOR,IND,Leon M. KAYARIAN,22
Tiverton,GOVERNOR,NON,WRITE-IN,4
Tiverton,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,2402
Tiverton,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,1853
Tiverton,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,472
Tiverton,LIEUTENANT GOVERNOR,Lib,Tony JONES,200
Tiverton,LIEUTENANT GOVERNOR,NON,WRITE-IN,15
Tiverton,SECRETARY OF STATE,DEM,Nellie M. GORBEA,2824
Tiverton,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2101
Tiverton,SECRETARY OF STATE,NON,WRITE-IN,5
Tiverton,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,2505
Tiverton,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,2498
Tiverton,ATTORNEY GENERAL,NON,WRITE-IN,6
Tiverton,GENERAL TREASURER,DEM,Seth MAGAZINER,2775
Tiverton,GENERAL TREASURER,IND,Ernest A. ALMONTE,2068
Tiverton,GENERAL TREASURER,NON,WRITE-IN,6
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,DEM,"Walter S. FELAG, JR.",2011
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,NON,WRITE-IN,27
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,REP,Christopher Scott OTTIANO,458
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,IND,Taylor A. DAME,188
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,NON,WRITE-IN,5
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 12,DEM,Louis P. DiPALMA,1196
Tiverton,SENATOR IN GENERAL ASSEMBLY DISTRICT 12,NON,WRITE-IN,18
Tiverton,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 70,DEM,John G. EDWARDS,2752
Tiverton,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 70,NON,WRITE-IN,47
Tiverton,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 71,DEM,Dennis M. CANARIO,827
Tiverton,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 71,REP,Norbert J. RATTAY,723
Tiverton,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 71,NON,WRITE-IN,4
Tiverton,NON-PARTISAN TOWN SERGEANT,NON,WRITE-IN,314
Tiverton,NON-PARTISAN TOWN CLERK TOWN OF TIVERTON,NON,Nancy L. MELLO,3844
Tiverton,NON-PARTISAN TOWN CLERK TOWN OF TIVERTON,NON,WRITE-IN,27
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Joan B. CHABOT,2469
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Brett N. PELLETIER,2270
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Denise M. deMEDEIROS,2231
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,David PERRY,2047
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Jay J. LAMBERT,2027
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Peter A. MELLO,1999
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Joseph R. SOUSA,1985
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Randy J. LEBEAU,1972
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Michael S. BURK,1961
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,James J. ARRUDA,1954
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,James S. O&#39;DELL,1853
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,Craig A. LEBEAU,1654
Tiverton,NON-PARTISAN TOWN COUNCIL TOWN OF TIVERTON,NON,WRITE-IN,75
Tiverton,NON-PARTISAN SCHOOL COMMITTEE TOWN OF TIVERTON,NON,Deborah Anna PALLASCH,2602
Tiverton,NON-PARTISAN SCHOOL COMMITTEE TOWN OF TIVERTON,NON,Jan W. BERGANDY,2354
Tiverton,NON-PARTISAN SCHOOL COMMITTEE TOWN OF TIVERTON,NON,WRITE-IN,34
Tiverton,JUDGE OF PROBATE TOWN OF TIVERTON,DEM,Richard P. D&#39;ADDARIO,3462
Tiverton,JUDGE OF PROBATE TOWN OF TIVERTON,NON,WRITE-IN,32
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Deborah JANICK,2185
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Donna J. COOK,2162
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Cecil E. LEONARD,2069
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,John E. SOUZA,1965
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Nancy L. DRIGGS,1905
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,John J. MARTIN,1824
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Robert D. COULTER,1754
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,Robert William SYLVIA,1605
Tiverton,NON-PARTISAN BUDGET COMMITTEE TOWN OF TIVERTON,NON,WRITE-IN,45
Tiverton,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,3340
Tiverton,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,1737
Tiverton,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,3597
Tiverton,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,1334
Tiverton,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,2602
Tiverton,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,2157
Tiverton,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,2501
Tiverton,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2317
Tiverton,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,2508
Tiverton,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,2471
Tiverton,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,2609
Tiverton,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,2136
Tiverton,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,3064
Tiverton,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1855
Tiverton,QUESTION 8 - TOWN OF TIVERTON,NON,Question 8 APPROVE,3663
Tiverton,QUESTION 8 - TOWN OF TIVERTON,NON,Question 8 REJECT,1062
Warren,SENATOR IN CONGRESS,DEM,John F. REED,2626
Warren,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,981
Warren,SENATOR IN CONGRESS,NON,WRITE-IN,5
Warren,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,2058
Warren,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,1540
Warren,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,9
Warren,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1797
Warren,GOVERNOR,DEM,Gina M. RAIMONDO,1118
Warren,GOVERNOR,REP,Allan W. FUNG,825
Warren,GOVERNOR,IND,Kate L. FLETCHER,18
Warren,GOVERNOR,NON,WRITE-IN,9
Warren,GOVERNOR,IND,Leon M. KAYARIAN,6
Warren,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,1741
Warren,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,1064
Warren,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,488
Warren,LIEUTENANT GOVERNOR,Lib,Tony JONES,146
Warren,LIEUTENANT GOVERNOR,NON,WRITE-IN,19
Warren,SECRETARY OF STATE,DEM,Nellie M. GORBEA,2264
Warren,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",1218
Warren,SECRETARY OF STATE,NON,WRITE-IN,9
Warren,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,2041
Warren,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,1514
Warren,ATTORNEY GENERAL,NON,WRITE-IN,8
Warren,GENERAL TREASURER,DEM,Seth MAGAZINER,2219
Warren,GENERAL TREASURER,IND,Ernest A. ALMONTE,1335
Warren,GENERAL TREASURER,NON,WRITE-IN,4
Warren,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,DEM,"Walter S. FELAG, JR.",2909
Warren,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,NON,WRITE-IN,74
Warren,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,DEM,Jan P. MALIK,1691
Warren,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,NON,WRITE-IN,53
Warren,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 68,DEM,Kenneth A. MARSHALL,1085
Warren,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 68,NON,WRITE-IN,24
Warren,TOWN COUNCIL TOWN OF WARREN,IND,Joseph A. DePASQUALE,2054
Warren,TOWN COUNCIL TOWN OF WARREN,DEM,P. Brandt HECKERT,1961
Warren,TOWN COUNCIL TOWN OF WARREN,DEM,David S. FRERICHS,1901
Warren,TOWN COUNCIL TOWN OF WARREN,DEM,Steven R. THOMPSON,1772
Warren,TOWN COUNCIL TOWN OF WARREN,IND,Scott Francis LIAL,1761
Warren,TOWN COUNCIL TOWN OF WARREN,IND,Keri M. CRONIN,1686
