office,district,candidate,party,precinct,votes
Lieutenant Governor,,William Gilbert,Moderate,Providence 2818,23
Lieutenant Governor,,William Gilbert,Moderate,Providence 2819,63
Lieutenant Governor,,William Gilbert,Moderate,Providence 2820,4
Lieutenant Governor,,William Gilbert,Moderate,Providence 2821,36
Lieutenant Governor,,William Gilbert,Moderate,Providence 2822,6
Lieutenant Governor,,William Gilbert,Moderate,Providence 2823,33
Lieutenant Governor,,William Gilbert,Moderate,Providence 2824,56
Lieutenant Governor,,William Gilbert,Moderate,Providence 2825,10
Lieutenant Governor,,William Gilbert,Moderate,Providence 2826,39
Lieutenant Governor,,William Gilbert,Moderate,Providence 2827,30
Lieutenant Governor,,William Gilbert,Moderate,Providence 2828,25
Lieutenant Governor,,William Gilbert,Moderate,Providence 2829,31
Lieutenant Governor,,William Gilbert,Moderate,Providence 2830,5
Lieutenant Governor,,William Gilbert,Moderate,Providence 2831,16
Lieutenant Governor,,William Gilbert,Moderate,Providence 2832,32
Lieutenant Governor,,William Gilbert,Moderate,Providence 2833,13
Lieutenant Governor,,William Gilbert,Moderate,Providence 2834,4
Lieutenant Governor,,William Gilbert,Moderate,Providence 2835,3
Lieutenant Governor,,William Gilbert,Moderate,Providence 2836,0
Lieutenant Governor,,William Gilbert,Moderate,Providence 2837,14
Lieutenant Governor,,William Gilbert,Moderate,Providence 2838,11
Lieutenant Governor,,William Gilbert,Moderate,Providence 2839,27
Lieutenant Governor,,William Gilbert,Moderate,Providence 2840,14
Lieutenant Governor,,William Gilbert,Moderate,Providence 2841,8
Lieutenant Governor,,William Gilbert,Moderate,Providence 2842,16
Lieutenant Governor,,William Gilbert,Moderate,Providence 2843,14
Lieutenant Governor,,William Gilbert,Moderate,Providence 2844,50
Lieutenant Governor,,William Gilbert,Moderate,Providence 2845,36
Lieutenant Governor,,William Gilbert,Moderate,Providence 2846,28
Lieutenant Governor,,William Gilbert,Moderate,Providence 2847,15
Lieutenant Governor,,William Gilbert,Moderate,Providence 2848,7
Lieutenant Governor,,William Gilbert,Moderate,Providence 2849,45
Lieutenant Governor,,William Gilbert,Moderate,Providence 2850,16
Lieutenant Governor,,William Gilbert,Moderate,Providence 2851,38
Lieutenant Governor,,William Gilbert,Moderate,Providence 2852,8
Lieutenant Governor,,William Gilbert,Moderate,Providence 2853,9
Lieutenant Governor,,William Gilbert,Moderate,Providence 2854,66
Lieutenant Governor,,William Gilbert,Moderate,Providence 2855,40
Lieutenant Governor,,William Gilbert,Moderate,Providence 2856,3
Lieutenant Governor,,William Gilbert,Moderate,Providence 2857,2
Lieutenant Governor,,William Gilbert,Moderate,Providence 2858,14
Lieutenant Governor,,William Gilbert,Moderate,Providence 2859,4
Lieutenant Governor,,William Gilbert,Moderate,Providence 2860,5
Lieutenant Governor,,William Gilbert,Moderate,Providence 2861,40
Lieutenant Governor,,William Gilbert,Moderate,Providence 2862,43
Lieutenant Governor,,William Gilbert,Moderate,Providence 2863,16
Lieutenant Governor,,William Gilbert,Moderate,Providence 2864,9
Lieutenant Governor,,William Gilbert,Moderate,Providence 2865,6
Lieutenant Governor,,William Gilbert,Moderate,Providence 2866,40
Lieutenant Governor,,William Gilbert,Moderate,Providence 2867,2
Lieutenant Governor,,William Gilbert,Moderate,Providence 2868,13
Lieutenant Governor,,William Gilbert,Moderate,Providence 2869,5
Lieutenant Governor,,William Gilbert,Moderate,Providence 2870,22
Lieutenant Governor,,William Gilbert,Moderate,Providence 2871,24
Lieutenant Governor,,William Gilbert,Moderate,Providence 2872,3
Lieutenant Governor,,William Gilbert,Moderate,Providence 2873,2
Lieutenant Governor,,William Gilbert,Moderate,Providence 2874,29
Lieutenant Governor,,William Gilbert,Moderate,Providence 2875,39
Lieutenant Governor,,William Gilbert,Moderate,Providence 2876,24
Lieutenant Governor,,William Gilbert,Moderate,Providence 2877,24
Lieutenant Governor,,William Gilbert,Moderate,Providence 2878,2
Lieutenant Governor,,William Gilbert,Moderate,Providence 2879,14
Lieutenant Governor,,William Gilbert,Moderate,Providence 2880,29
Lieutenant Governor,,William Gilbert,Moderate,Providence Limited 1,0
Lieutenant Governor,,William Gilbert,Moderate,Providence Limited 2,0
Lieutenant Governor,,William Gilbert,Moderate,Richmond 2901,172
Lieutenant Governor,,William Gilbert,Moderate,Richmond 2902,158
Lieutenant Governor,,William Gilbert,Moderate,Scituate 3001,142
Lieutenant Governor,,William Gilbert,Moderate,Scituate 3002,131
Lieutenant Governor,,William Gilbert,Moderate,Scituate 3003,144
Lieutenant Governor,,William Gilbert,Moderate,Scituate Limited,1
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3101,91
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3102,107
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3103,92
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3104,85
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3105,94
Lieutenant Governor,,William Gilbert,Moderate,Smithfield 3106,112
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3201,35
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3202,92
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3203,102
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3204,101
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3205,122
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3206,74
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3207,109
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3208,118
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3209,57
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown 3210,86
Lieutenant Governor,,William Gilbert,Moderate,South Kingstown Limited,1
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3301,73
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3302,111
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3303,60
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3304,66
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3305,16
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3306,84
Lieutenant Governor,,William Gilbert,Moderate,Tiverton 3307,62
Lieutenant Governor,,William Gilbert,Moderate,Warren 3401,118
Lieutenant Governor,,William Gilbert,Moderate,Warren 3402,169
Lieutenant Governor,,William Gilbert,Moderate,Warren 3403,201
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3501,100
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3502,115
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3503,62
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3504,82
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3505,44
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3506,42
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3507,17
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3508,101
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3509,13
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3510,76
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3511,98
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3512,65
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3513,67
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3514,128
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3515,151
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3516,40
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3517,41
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3518,130
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3519,145
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3520,118
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3521,100
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3522,81
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3523,129
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3524,78
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3525,93
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3526,24
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3527,86
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3528,31
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3529,72
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3530,68
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3531,105
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3532,51
Lieutenant Governor,,William Gilbert,Moderate,Warwick 3533,38
Lieutenant Governor,,William Gilbert,Moderate,Warwick Limited,1
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3601,49
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3602,103
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3603,97
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3604,111
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3605,86
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3606,86
Lieutenant Governor,,William Gilbert,Moderate,Westerly 3607,89
Lieutenant Governor,,William Gilbert,Moderate,West Greenwich 3701,71
Lieutenant Governor,,William Gilbert,Moderate,West Greenwich 3702,65
Lieutenant Governor,,William Gilbert,Moderate,West Greenwich 3703,58
Lieutenant Governor,,William Gilbert,Moderate,West Greenwich 3704,50
Lieutenant Governor,,William Gilbert,Moderate,West Greenwich Limited,0
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3801,83
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3802,49
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3803,35
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3804,129
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3805,66
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3806,38
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3807,128
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3808,113
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3809,60
Lieutenant Governor,,William Gilbert,Moderate,West Warwick 3810,74
Lieutenant Governor,,William Gilbert,Moderate,West Warwick Limited,1
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3901,12
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3902,27
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3903,25
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3904,32
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3905,44
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3906,38
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3907,59
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3908,57
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3909,50
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3910,67
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3911,52
Lieutenant Governor,,William Gilbert,Moderate,Woonsocket 3912,51
Lieutenant Governor,,Catherine Taylor,R,Barrington 0101,417
Lieutenant Governor,,Catherine Taylor,R,Barrington 0102,531
Lieutenant Governor,,Catherine Taylor,R,Barrington 0103,600
Lieutenant Governor,,Catherine Taylor,R,Barrington 0104,578
Lieutenant Governor,,Catherine Taylor,R,Barrington 0105,635
Lieutenant Governor,,Catherine Taylor,R,Barrington Limited,0
Lieutenant Governor,,Catherine Taylor,R,Bristol 0201,216
Lieutenant Governor,,Catherine Taylor,R,Bristol 0202,148
Lieutenant Governor,,Catherine Taylor,R,Bristol 0203,585
Lieutenant Governor,,Catherine Taylor,R,Bristol 0204,286
Lieutenant Governor,,Catherine Taylor,R,Bristol 0205,358
Lieutenant Governor,,Catherine Taylor,R,Bristol 0206,236
Lieutenant Governor,,Catherine Taylor,R,Bristol 0207,238
Lieutenant Governor,,Catherine Taylor,R,Bristol 0208,189
Lieutenant Governor,,Catherine Taylor,R,Bristol 0209,37
Lieutenant Governor,,Catherine Taylor,R,Bristol Limited,1
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0301,242
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0302,274
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0303,356
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0304,203
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0305,217
Lieutenant Governor,,Catherine Taylor,R,Burrillville 0306,335
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0401,45
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0402,16
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0403,45
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0404,33
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0405,18
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0406,42
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0407,16
Lieutenant Governor,,Catherine Taylor,R,Central Falls 0408,49
Lieutenant Governor,,Catherine Taylor,R,Central Falls Limited,0
Lieutenant Governor,,Catherine Taylor,R,Charlestown 0501,282
Lieutenant Governor,,Catherine Taylor,R,Charlestown 0502,334
Lieutenant Governor,,Catherine Taylor,R,Charlestown 0503,367
Lieutenant Governor,,Catherine Taylor,R,Charlestown 0504,225
Lieutenant Governor,,Catherine Taylor,R,Charlestown Limited,2
Lieutenant Governor,,Catherine Taylor,R,Coventry 0601,265
Lieutenant Governor,,Catherine Taylor,R,Coventry 0602,54
Lieutenant Governor,,Catherine Taylor,R,Coventry 0603,401
Lieutenant Governor,,Catherine Taylor,R,Coventry 0604,216
Lieutenant Governor,,Catherine Taylor,R,Coventry 0605,308
Lieutenant Governor,,Catherine Taylor,R,Coventry 0606,175
Lieutenant Governor,,Catherine Taylor,R,Coventry 0607,358
Lieutenant Governor,,Catherine Taylor,R,Coventry 0608,361
Lieutenant Governor,,Catherine Taylor,R,Coventry 0609,285
Lieutenant Governor,,Catherine Taylor,R,Coventry 0610,133
Lieutenant Governor,,Catherine Taylor,R,Coventry 0611,286
Lieutenant Governor,,Catherine Taylor,R,Coventry 0612,266
Lieutenant Governor,,Catherine Taylor,R,Coventry 0613,214
Lieutenant Governor,,Catherine Taylor,R,Coventry 0614,82
Lieutenant Governor,,Catherine Taylor,R,Coventry 0615,402
Lieutenant Governor,,Catherine Taylor,R,Coventry 0616,350
Lieutenant Governor,,Catherine Taylor,R,Coventry 0617,312
Lieutenant Governor,,Catherine Taylor,R,Coventry 0618,163
Lieutenant Governor,,Catherine Taylor,R,Coventry Limited,0
Lieutenant Governor,,Catherine Taylor,R,Cranston 0701,244
Lieutenant Governor,,Catherine Taylor,R,Cranston 0702,184
Lieutenant Governor,,Catherine Taylor,R,Cranston 0703,208
Lieutenant Governor,,Catherine Taylor,R,Cranston 0704,67
Lieutenant Governor,,Catherine Taylor,R,Cranston 0705,87
Lieutenant Governor,,Catherine Taylor,R,Cranston 0706,666
Lieutenant Governor,,Catherine Taylor,R,Cranston 0707,596
Lieutenant Governor,,Catherine Taylor,R,Cranston 0708,560
Lieutenant Governor,,Catherine Taylor,R,Cranston 0709,624
Lieutenant Governor,,Catherine Taylor,R,Cranston 0710,361
Lieutenant Governor,,Catherine Taylor,R,Cranston 0711,389
Lieutenant Governor,,Catherine Taylor,R,Cranston 0712,582
Lieutenant Governor,,Catherine Taylor,R,Cranston 0713,428
Lieutenant Governor,,Catherine Taylor,R,Cranston 0714,53
Lieutenant Governor,,Catherine Taylor,R,Cranston 0715,256
Lieutenant Governor,,Catherine Taylor,R,Cranston 0716,331
Lieutenant Governor,,Catherine Taylor,R,Cranston 0717,119
Lieutenant Governor,,Catherine Taylor,R,Cranston 0718,218
Lieutenant Governor,,Catherine Taylor,R,Cranston 0719,362
Lieutenant Governor,,Catherine Taylor,R,Cranston 0720,197
Lieutenant Governor,,Catherine Taylor,R,Cranston 0721,328
Lieutenant Governor,,Catherine Taylor,R,Cranston 0722,182
Lieutenant Governor,,Catherine Taylor,R,Cranston 0723,354
Lieutenant Governor,,Catherine Taylor,R,Cranston 0724,406
Lieutenant Governor,,Catherine Taylor,R,Cranston 0725,391
Lieutenant Governor,,Catherine Taylor,R,Cranston 0726,238
Lieutenant Governor,,Catherine Taylor,R,Cranston 0727,221
Lieutenant Governor,,Catherine Taylor,R,Cranston 0728,0
Lieutenant Governor,,Catherine Taylor,R,Cranston 0730,815
Lieutenant Governor,,Catherine Taylor,R,Cranston 0731,457
Lieutenant Governor,,Catherine Taylor,R,Cranston Limited,3
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0801,217
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0802,317
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0803,313
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0804,69
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0805,355
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0806,345
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0807,532
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0808,575
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0809,159
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0810,199
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0811,226
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0812,234
Lieutenant Governor,,Catherine Taylor,R,Cumberland 0813,113
Lieutenant Governor,,Catherine Taylor,R,East Greenwich 0901,146
Lieutenant Governor,,Catherine Taylor,R,East Greenwich 0902,619
Lieutenant Governor,,Catherine Taylor,R,East Greenwich 0903,427
Lieutenant Governor,,Catherine Taylor,R,East Greenwich 0904,595
Lieutenant Governor,,Catherine Taylor,R,East Greenwich 0905,634
Lieutenant Governor,,Catherine Taylor,R,East Providence 1001,368
Lieutenant Governor,,Catherine Taylor,R,East Providence 1002,174
Lieutenant Governor,,Catherine Taylor,R,East Providence 1003,85
Lieutenant Governor,,Catherine Taylor,R,East Providence 1004,245
Lieutenant Governor,,Catherine Taylor,R,East Providence 1005,316
Lieutenant Governor,,Catherine Taylor,R,East Providence 1006,9
Lieutenant Governor,,Catherine Taylor,R,East Providence 1007,19
Lieutenant Governor,,Catherine Taylor,R,East Providence 1008,212
Lieutenant Governor,,Catherine Taylor,R,East Providence 1009,228
Lieutenant Governor,,Catherine Taylor,R,East Providence 1010,223
Lieutenant Governor,,Catherine Taylor,R,East Providence 1011,413
Lieutenant Governor,,Catherine Taylor,R,East Providence 1012,134
Lieutenant Governor,,Catherine Taylor,R,East Providence 1013,258
Lieutenant Governor,,Catherine Taylor,R,East Providence 1014,263
Lieutenant Governor,,Catherine Taylor,R,East Providence 1015,157
Lieutenant Governor,,Catherine Taylor,R,East Providence 1016,225
Lieutenant Governor,,Catherine Taylor,R,East Providence 1017,333
Lieutenant Governor,,Catherine Taylor,R,East Providence Limited,2
Lieutenant Governor,,Catherine Taylor,R,Exeter 1101,297
Lieutenant Governor,,Catherine Taylor,R,Exeter 1102,342
Lieutenant Governor,,Catherine Taylor,R,Exeter 1103,508
Lieutenant Governor,,Catherine Taylor,R,Exeter Limited,3
Lieutenant Governor,,Catherine Taylor,R,Foster 1201,378
Lieutenant Governor,,Catherine Taylor,R,Foster 1202,327
Lieutenant Governor,,Catherine Taylor,R,Glocester 1301,444
Lieutenant Governor,,Catherine Taylor,R,Glocester 1302,478
Lieutenant Governor,,Catherine Taylor,R,Glocester 1303,97
Lieutenant Governor,,Catherine Taylor,R,Glocester 1304,313
Lieutenant Governor,,Catherine Taylor,R,Hopkinton 1401,434
Lieutenant Governor,,Catherine Taylor,R,Hopkinton 1402,412
Lieutenant Governor,,Catherine Taylor,R,Hopkinton 1403,171
Lieutenant Governor,,Catherine Taylor,R,Jamestown 1501,519
Lieutenant Governor,,Catherine Taylor,R,Jamestown 1502,487
Lieutenant Governor,,Catherine Taylor,R,Jamestown Limited,1
Lieutenant Governor,,Catherine Taylor,R,Johnston 1601,229
Lieutenant Governor,,Catherine Taylor,R,Johnston 1602,216
Lieutenant Governor,,Catherine Taylor,R,Johnston 1603,221
Lieutenant Governor,,Catherine Taylor,R,Johnston 1604,280
Lieutenant Governor,,Catherine Taylor,R,Johnston 1605,250
Lieutenant Governor,,Catherine Taylor,R,Johnston 1606,51
Lieutenant Governor,,Catherine Taylor,R,Johnston 1607,87
Lieutenant Governor,,Catherine Taylor,R,Johnston 1608,269
Lieutenant Governor,,Catherine Taylor,R,Johnston 1609,239
Lieutenant Governor,,Catherine Taylor,R,Johnston 1610,360
Lieutenant Governor,,Catherine Taylor,R,Johnston 1611,189
Lieutenant Governor,,Catherine Taylor,R,Johnston 1612,232
Lieutenant Governor,,Catherine Taylor,R,Johnston 1613,297
Lieutenant Governor,,Catherine Taylor,R,Johnston Limited,2
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1701,532
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1702,200
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1703,228
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1704,388
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1705,324
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1706,72
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1707,101
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1708,366
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1709,153
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1710,136
Lieutenant Governor,,Catherine Taylor,R,Lincoln 1711,108
Lieutenant Governor,,Catherine Taylor,R,Lincoln Limited,1
Lieutenant Governor,,Catherine Taylor,R,Little Compton 1801,776
Lieutenant Governor,,Catherine Taylor,R,Middletown 1901,381
Lieutenant Governor,,Catherine Taylor,R,Middletown 1902,425
Lieutenant Governor,,Catherine Taylor,R,Middletown 1903,323
Lieutenant Governor,,Catherine Taylor,R,Middletown 1904,432
Lieutenant Governor,,Catherine Taylor,R,Middletown 1905,350
Lieutenant Governor,,Catherine Taylor,R,Narragansett 2001,65
Lieutenant Governor,,Catherine Taylor,R,Narragansett 2002,546
Lieutenant Governor,,Catherine Taylor,R,Narragansett 2003,510
Lieutenant Governor,,Catherine Taylor,R,Narragansett 2004,533
Lieutenant Governor,,Catherine Taylor,R,Narragansett 2005,471
Lieutenant Governor,,Catherine Taylor,R,Narragansett Limited,0
Lieutenant Governor,,Catherine Taylor,R,Newport 2101,266
Lieutenant Governor,,Catherine Taylor,R,Newport 2102,426
Lieutenant Governor,,Catherine Taylor,R,Newport 2103,111
Lieutenant Governor,,Catherine Taylor,R,Newport 2104,163
Lieutenant Governor,,Catherine Taylor,R,Newport 2105,418
Lieutenant Governor,,Catherine Taylor,R,Newport 2106,452
Lieutenant Governor,,Catherine Taylor,R,Newport 2107,560
Lieutenant Governor,,Catherine Taylor,R,Newport 2108,141
Lieutenant Governor,,Catherine Taylor,R,Newport Limited,2
Lieutenant Governor,,Catherine Taylor,R,New Shoreham 2201,194
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2301,431
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2302,414
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2303,527
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2304,513
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2305,364
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2306,320
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2307,633
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2308,607
Lieutenant Governor,,Catherine Taylor,R,North Kingstown 2309,550
Lieutenant Governor,,Catherine Taylor,R,North Kingstown Limited,0
Lieutenant Governor,,Catherine Taylor,R,North Providence 2401,168
Lieutenant Governor,,Catherine Taylor,R,North Providence 2402,202
Lieutenant Governor,,Catherine Taylor,R,North Providence 2403,235
Lieutenant Governor,,Catherine Taylor,R,North Providence 2404,155
Lieutenant Governor,,Catherine Taylor,R,North Providence 2405,152
Lieutenant Governor,,Catherine Taylor,R,North Providence 2406,245
Lieutenant Governor,,Catherine Taylor,R,North Providence 2407,287
Lieutenant Governor,,Catherine Taylor,R,North Providence 2408,165
Lieutenant Governor,,Catherine Taylor,R,North Providence 2409,100
Lieutenant Governor,,Catherine Taylor,R,North Providence 2410,238
Lieutenant Governor,,Catherine Taylor,R,North Providence 2411,303
Lieutenant Governor,,Catherine Taylor,R,North Providence 2412,221
Lieutenant Governor,,Catherine Taylor,R,North Providence 2413,111
Lieutenant Governor,,Catherine Taylor,R,North Providence 2414,130
Lieutenant Governor,,Catherine Taylor,R,North Providence 2415,133
Lieutenant Governor,,Catherine Taylor,R,North Providence 2416,338
Lieutenant Governor,,Catherine Taylor,R,North Smithfield 2501,336
Lieutenant Governor,,Catherine Taylor,R,North Smithfield 2502,389
Lieutenant Governor,,Catherine Taylor,R,North Smithfield 2503,294
Lieutenant Governor,,Catherine Taylor,R,North Smithfield 2504,283
Lieutenant Governor,,Catherine Taylor,R,North Smithfield 2505,175
Lieutenant Governor,,Catherine Taylor,R,North Smithfield Limited,0
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2601,34
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2602,39
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2603,173
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2604,125
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2605,32
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2606,25
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2607,295
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2608,215
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2609,16
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2610,6
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2611,45
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2612,129
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2613,100
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2614,71
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2615,51
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2616,8
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2617,22
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2618,305
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2619,125
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2620,217
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2621,80
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2622,47
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2623,67
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2624,126
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2625,45
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2626,3
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2627,96
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2628,210
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2629,213
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2630,16
Lieutenant Governor,,Catherine Taylor,R,Pawtucket 2631,40
Lieutenant Governor,,Catherine Taylor,R,Pawtucket Limited,2
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2701,21
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2702,88
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2703,292
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2704,533
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2705,204
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2706,231
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2707,635
Lieutenant Governor,,Catherine Taylor,R,Portsmouth 2708,667
